id,station_name,longitude,latitude,geometry,index_right,STATE,NAME,FIPS
USC00319357,WHITEVILLE 7 NW,-78.7914,34.4094,POINT (-78.7914 34.4094),25,NC,North Carolina,37
USC00316853,PLYMOUTH 5 E,-76.6592,35.8722,POINT (-76.6592 35.8722),25,NC,North Carolina,37
USW00093729,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
USC00318500,TARBORO 1 S,-77.5386,35.8847,POINT (-77.5386 35.8847),25,NC,North Carolina,37
USW00013754,CHERRY POINT MCAS,-76.8833,34.9,POINT (-76.8833 34.9),25,NC,North Carolina,37
USW00093719,NEW BERN CRAVEN CO AP,-77.0481,35.0678,POINT (-77.0481 35.0678),25,NC,North Carolina,37
USW00013748,WILMINGTON INTL AP,-77.8997,34.2675,POINT (-77.8997 34.2675),25,NC,North Carolina,37
USC00315830,MOREHEAD CITY 2 WNW,-76.7358,34.7336,POINT (-76.7358 34.7336),25,NC,North Carolina,37
USW00013722,RALEIGH DURHAM INTL AP,-78.7819,35.8922,POINT (-78.7819 35.8922),25,NC,North Carolina,37
USC00312732,ELIZABETHTOWN 3 SW,-78.6481,34.6044,POINT (-78.6481 34.6044),25,NC,North Carolina,37
USC00311606,CEDAR ISLAND,-76.3,34.9833,POINT (-76.3 34.9833),25,NC,North Carolina,37
USW00013786,ELIZABETH CITY CGAS,-76.175,36.2606,POINT (-76.175 36.2606),25,NC,North Carolina,37
USC00319467,WILMINGTON 7 N,-77.9206,34.3208,POINT (-77.9206 34.3208),25,NC,North Carolina,37
USC00318292,STATESVILLE 2 NNE,-80.8808,35.81,POINT (-80.8808 35.81),25,NC,North Carolina,37
USW00003810,HICKORY FAA AP,-81.3819,35.7425,POINT (-81.3819 35.7425),25,NC,North Carolina,37
USC00319147,WAYNESVILLE 1 E,-82.9683,35.4867,POINT (-82.9683 35.4867),25,NC,North Carolina,37
USC00311975,CONCORD,-80.5833,35.4111,POINT (-80.5833 35.4111),25,NC,North Carolina,37
USC00318492,TAPOCO,-83.9389,35.4478,POINT (-83.9389 35.4478),25,NC,North Carolina,37
USC00314684,KINSTON 7 SE,-77.5433,35.1967,POINT (-77.5433 35.1967),25,NC,North Carolina,37
USC00316805,PISGAH FOREST 3 NE,-82.6475,35.2719,POINT (-82.6475 35.2719),25,NC,North Carolina,37
USC00316256,NORTH WILKESBORO,-81.1494,36.1631,POINT (-81.1494 36.1631),25,NC,North Carolina,37
USC00310286,ASHEBORO 2 W,-79.8378,35.7044,POINT (-79.8378 35.7044),25,NC,North Carolina,37
USC00312635,EDENTON,-76.5517,36.0164,POINT (-76.5517 36.0164),25,NC,North Carolina,37
USC00319675,YADKINVILLE 6 E,-80.5481,36.1306,POINT (-80.5481 36.1306),25,NC,North Carolina,37
USC00313969,HENDERSON 2 NNW,-78.4119,36.3481,POINT (-78.4119 36.3481),25,NC,North Carolina,37
USC00313625,GREENSBORO WTP,-79.8047,36.0811,POINT (-79.8047 36.0811),25,NC,North Carolina,37
USC00310724,BENT CREEK,-82.5967,35.5044,POINT (-82.5967 35.5044),25,NC,North Carolina,37
USC00312515,DURHAM,-78.9625,36.0425,POINT (-78.9625 36.0425),25,NC,North Carolina,37
USC00317400,ROCKY MT 8 ESE,-77.6805,35.8936,POINT (-77.6805 35.8936),25,NC,North Carolina,37
USC00310090,ALBEMARLE,-80.1994,35.3992,POINT (-80.1994 35.3992),25,NC,North Carolina,37
USC00311820,CLAYTON WTP,-78.4633,35.6408,POINT (-78.4633 35.6408),25,NC,North Carolina,37
USC00315771,MONROE 2 SE,-80.5233,34.9797,POINT (-80.5233 34.9797),25,NC,North Carolina,37
