,serialid,id,date_str,degrees_from_mean,max_temp,min_temp,type,year,station_name,longitude,latitude,geometry,index_right,STATE,NAME,FIPS
38540,966760,USC00313784,2013-09-01,6.92,33.3,22.8,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38541,967958,USC00313784,2013-04-12,11.04,28.3,19.4,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38542,969575,USC00313784,2013-12-22,32.01,26.1,19.4,Strong Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38543,970519,USC00313784,2013-04-19,10.54,29.4,18.9,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38544,973336,USC00313784,2013-09-03,6.32,33.3,22.2,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38545,979132,USC00313784,2013-10-26,-11.24,16.7,-2.2,Weak Cold,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38546,985545,USC00313784,2013-01-30,32.75,25.6,17.2,Strong Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38547,989932,USC00313784,2013-04-04,-14.72,9.4,4.4,Weak Cold,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38548,992319,USC00313784,2013-11-25,-21.87,7.2,-7.2,Strong Cold,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38549,994740,USC00313784,2013-12-07,12.52,26.1,7.8,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38550,995423,USC00313784,2013-12-06,29.81,26.1,17.2,Strong Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38551,997283,USC00313784,2013-09-02,6.32,32.2,22.2,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38552,1002719,USC00313784,2013-08-09,4.36,33.9,23.9,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38553,1003258,USC00313784,2013-08-02,4.36,31.7,23.9,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38554,1003333,USC00313784,2013-08-03,4.36,33.3,23.9,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38555,1003589,USC00313784,2013-01-29,13.35,25.0,2.2,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38556,1004953,USC00313784,2013-01-25,-14.45,-2.8,-8.3,Weak Cold,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38557,1005282,USC00313784,2013-01-12,13.95,25.6,9.4,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38558,1005969,USC00313784,2013-01-13,13.35,25.0,10.6,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38559,1007495,USC00313784,2013-01-14,29.95,25.0,15.0,Strong Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38560,1013229,USC00313784,2013-10-07,12.06,24.4,21.1,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38561,1013767,USC00313784,2013-10-05,8.58,32.2,15.6,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38562,1020583,USC00313784,2013-08-17,-10.24,21.7,17.8,Weak Cold,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38563,1020800,USC00313784,2013-08-16,-11.94,20.0,16.7,Weak Cold,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38564,1021062,USC00313784,2013-08-10,4.36,35.6,23.9,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38565,1021178,USC00313784,2013-08-12,4.36,35.6,23.9,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38566,1021568,USC00313784,2013-11-01,14.4,25.0,17.8,Weak Hot,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38567,1021994,USC00313784,2013-05-05,-10.06,17.8,11.7,Weak Cold,2013,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
